Datetime,Temperature (°C),Precipitations (mm),Wind Speed (m/s),KennedyBrücke,NordBrücke,SüdBrücke,Estermannufer,VonSandtUfer,Rhenusallee,BrühlerStraße,WilhelmSpiritusUfer,McCloyWeg,WegDammBonnBeuel,Bonn
2018-02-28,-258.90000000000003,4.0,2043.5,164067.0,20893.0,54016.0,10877.0,28998.0,35351.0,17830.0,49132.0,18835.0,34888.0,475872.0
2018-03-31,3478.2,40.5,89.55000000000013,183071.0,26428.0,64587.0,14350.0,37480.0,45504.0,21279.0,59622.0,25006.0,44342.0,539132.0
2018-04-30,9687.8,23.6,2001.2,249200.0,41302.0,100033.0,26432.0,64801.0,76593.0,30568.0,98952.0,43968.0,77264.0,829568.0
2018-05-31,12291.7,55.7,1705.1,251517.0,44358.0,106007.0,31915.0,74047.0,85407.0,30740.0,109293.0,53297.0,84989.0,902795.0
2018-06-30,13031.6,46.1,1554.2,263973.0,44786.0,111081.0,26887.0,70966.0,84383.0,32520.0,108052.0,49799.0,83996.0,905792.0
2018-07-31,15919.5,31.0,1486.7,250629.0,50619.0,116891.0,37570.0,85442.0,93652.0,30581.0,124900.0,61494.0,89846.0,970892.0
2018-08-31,15036.0,16.2,1676.0,238372.0,43123.0,108337.0,31103.0,78068.0,83268.0,29346.0,109315.0,56934.0,79888.0,886651.0
2018-09-30,11196.3,61.1,1471.3,227598.0,36797.0,94393.0,22918.0,59138.0,68023.0,29167.0,89718.0,40567.0,66785.0,761136.0
2018-10-31,8805.9,30.6,1765.0,222998.0,32620.0,83379.0,20321.0,49347.0,58944.0,28013.0,79536.0,34182.0,57766.0,689802.0
2018-11-30,4949.9,4.3,2198.0,210519.0,27108.0,76100.0,13140.0,37313.0,44976.0,26622.0,65803.0,23198.0,44290.0,586431.0
2018-12-31,3945.2000000000003,71.8,2361.6,173180.0,23317.0,57291.0,13054.0,33181.0,39953.0,20105.0,53991.0,22816.0,39963.0,491055.0
2019-01-31,1470.9,74.6,2378.6,140845.0,15013.0,46510.0,5467.0,17548.0,23580.0,16914.0,37368.0,9289.0,22677.0,338487.0
2019-02-28,4080.8,43.3,1945.8,177317.0,24691.0,65021.0,12085.0,32379.0,43656.0,19822.0,55654.0,19511.0,44059.0,500758.0
2019-03-31,5771.9,54.1,2524.5,176196.0,24034.0,63515.0,10025.0,32890.0,41208.0,20395.0,55668.0,19226.0,40558.0,497597.0
2019-04-30,-6398.9,17.6,-5668.25,232202.0,36927.0,87403.0,24719.0,56471.0,67476.0,27209.0,84667.0,39592.0,65059.0,741532.0
2019-05-31,8553.1,82.2,1721.4,245205.0,37902.0,94232.0,23940.0,58647.0,68453.0,29899.0,92060.0,41496.0,69227.0,781951.0
2019-06-30,14483.6,23.3,1818.5,286108.0,55147.0,120703.0,40994.0,96486.0,97303.0,33566.0,130817.0,68724.0,97101.0,1056947.0
2019-07-31,14560.2,45.8,1580.8,288839.0,51312.0,129534.0,37614.0,87185.0,93438.0,35128.0,131346.0,61987.0,89741.0,1033527.0
2019-08-31,14551.3,38.4,1666.8,265111.0,46985.0,119194.0,39299.0,92679.0,92309.0,31190.0,126987.0,68241.0,88180.0,996019.0
2019-09-30,10666.8,57.9,1772.6,255757.0,37796.0,101729.0,24895.0,62857.0,69651.0,30629.0,96326.0,43120.0,69902.0,814896.0
2019-10-31,8849.1,39.300000000000004,2143.5,221658.0,29286.0,79298.0,15685.0,42384.0,50181.0,27503.0,72480.0,27291.0,50375.0,632174.0
2019-11-30,-19638.0,27.8,1930.7,193780.0,24114.0,67703.0,8968.0,28734.0,35835.0,24280.0,54679.0,15585.0,36090.0,502191.0
2019-12-31,4097.8,30.6,2410.8,158642.0,18732.0,48979.0,6812.0,21116.0,27696.0,18961.0,41429.0,11674.0,28366.0,392332.0
2020-01-31,-164296.2,22.7,2487.9,187114.0,23482.0,66492.0,8439.0,27375.0,35960.0,21642.0,53770.0,14769.0,35571.0,487025.0
2020-02-29,4627.2,113.8,3640.9,148136.0,18329.0,49797.0,4782.0,18829.0,27573.0,17486.0,35136.0,10339.0,27035.0,367640.0
2020-03-31,-139831.4,36.4,2407.0,173452.0,36564.0,45119.0,13266.0,45317.0,62408.0,22014.0,70241.0,23417.0,59705.0,568909.0
2020-04-30,8833.0,3.6,1648.5,219903.0,66585.0,0.0,43221.0,86334.0,112881.0,26205.0,112542.0,65311.0,108714.0,870122.0
2020-05-31,9805.9,45.6,1634.0,262074.0,67286.0,0.0,45945.0,97976.0,115865.0,32046.0,122031.0,75251.0,114879.0,964355.0
2020-06-30,12644.7,43.2,1636.7,271424.0,60904.0,0.0,40542.0,91589.0,98939.0,34297.0,117876.0,69192.0,99731.0,914182.0
2020-07-31,13653.5,9.5,1786.8,274707.0,58511.0,0.0,45121.0,98475.0,105289.0,34645.0,128153.0,77825.0,101653.0,953793.0
2020-08-31,15842.9,120.0,1831.7,288816.0,62581.0,0.0,42016.0,94281.0,99821.0,35663.0,127023.0,71833.0,98799.0,951381.0
2020-09-30,11476.0,59.50000000000001,1343.9,298783.0,56675.0,0.0,36754.0,89317.0,97620.0,38034.0,120668.0,65445.0,99545.0,932546.0
2020-10-31,8535.2,97.2,2819.5,226775.0,33820.0,0.0,17234.0,45349.0,54838.0,30114.0,72668.0,32698.0,55909.0,588303.0
2020-11-30,5723.6,6.2,2372.6,203338.0,36270.0,0.0,16849.0,44106.0,58641.0,26438.0,69873.0,17568.0,60360.0,551934.0
2020-12-31,3920.7,21.0,2752.6,134332.0,24009.0,0.0,9540.0,26560.0,36003.0,17347.0,42552.0,0.0,36564.0,339070.0
2021-01-31,1843.8999999999999,85.5,2667.6,108228.0,20444.0,41451.0,7421.0,22668.0,31173.0,13171.0,37960.0,0.0,30340.0,322864.0
2021-02-28,3319.8,39.3,2498.4,138228.0,33077.0,59370.0,12094.0,29420.0,50887.0,15910.0,41901.0,9268.0,46685.0,452084.0
2021-03-31,-72290.5,43.6,-37031.9,189591.0,38993.0,74820.0,20297.0,46965.0,64353.0,21764.0,72088.0,34049.0,64026.0,645893.0
2021-04-30,5004.1,29.900000000000002,2113.1,178001.0,40933.0,75392.0,21888.0,50450.0,68285.0,21226.0,73894.0,37046.0,66093.0,652646.0
2021-05-31,8579.7,78.8,2798.9,190490.0,47097.0,82835.0,28061.0,61079.0,76188.0,22609.0,85411.0,45591.0,75006.0,735254.0
2021-06-30,14040.199999999999,69.0,1668.2,270050.0,63564.0,107808.0,36571.0,83547.0,97730.0,32149.0,113902.0,61355.0,99359.0,995159.0
2021-07-31,13574.6,-1895.2,1904.2,231209.0,47513.0,87430.0,20889.0,60241.0,79157.0,27323.0,85792.0,37630.0,79217.0,777168.0
2021-08-31,12615.9,111.0,1935.8,237446.0,47635.0,93938.0,31419.0,71338.0,81454.0,29119.0,100393.0,52140.0,79291.0,839741.0
2021-09-30,11710.1,13.5,1510.1,282393.0,55015.0,108021.0,34358.0,80280.0,94177.0,33948.0,108684.0,57184.0,95164.0,973900.0
2021-10-31,8292.0,9.9,2682.8,219489.0,34443.0,73926.0,17364.0,42788.0,58456.0,27102.0,70145.0,30348.0,57840.0,639206.0
2021-11-30,4182.5,-4941.799999999999,1951.9,198578.0,26531.0,56863.0,9492.0,27249.0,38784.0,24627.0,47805.0,17405.0,40436.0,487770.0
2021-12-31,3817.7,47.6,2637.4,168156.0,20644.0,41835.0,7159.0,21420.0,30441.0,19443.0,36748.0,14193.0,32536.0,392575.0
